N°,Región,Fecha del mensaje,Hora,Mensaje,Poligono de difusión,Tipo de Mensaje,Evento,Fecha_dt,FechaHora_del_mensaje,Fecha_real,Hora_real
1746,Coquimbo,45909.0,0.713194444444444,"SENAPRED: EVACUE sector Tres Cruces por incendio forestal, comuna de Paihuano",Comuna de Paiguano,Amenaza Inminente,Incendio Forestal,2025-09-09,2025-09-09 17:07:00,09/09/2025,17:07
1755,Coquimbo,45934.0,0.797916666666667,"SENAPRED: EVACUE sector Chaguaral Bajo por incendio forestal, comuna de Monte Patria",Comuna de Monte Patria,Amenaza Inminente,Incendio Forestal,2025-10-04,2025-10-04 19:09:00,04/10/2025,19:09
1762,Coquimbo,45946.0,0.709027777777778,"SENAPRED: EVACUE sector Llanos de Cogoti por incendio forestal, comuna de Combarbala",Comuna de Combarbalá,Amenaza Inminente,Incendio Forestal,2025-10-16,2025-10-16 17:01:00,16/10/2025,17:01
1769,Valparaíso,45978.0,0.636805555555556,"SENAPRED: EVACUE sector Borriqueros y Queronque por incendio forestal, comuna de Limache",Comuna de Limache,Amenaza Inminente,Incendio Forestal,2025-11-17,2025-11-17 15:17:00,17/11/2025,15:17
1772,Metropolitana,45983.0,0.573611111111111,"SENAPRED: EVACUE sector Polpaico por incendio forestal, comuna de Tiltil",Comuna de Tiltil,Amenaza Inminente,Incendio Forestal,2025-11-22,2025-11-22 13:46:00,22/11/2025,13:46
1774,Valparaíso,45987.0,0.706944444444444,"SENAPRED: EVACUE sector El Leoncillo Laguna Verde por incendio forestal, comuna Valparaíso",Comuna de Valparaíso,Amenaza Inminente,Incendio Forestal,2025-11-26,2025-11-26 16:58:00,26/11/2025,16:58
1775,Metropolitana,45991.0,0.640972222222222,"SENAPRED: EVACUE sector Culipran por incendio forestal, comuna Melipilla",Comuna de Melipilla,Amenaza Inminente,Incendio Forestal,2025-11-30,2025-11-30 15:23:00,30/11/2025,15:23
1776,Valparaíso,45993.0,0.634722222222222,"SENAPRED: EVACUE sector Condominio Limache por incendio forestal, comuna Limache",Comuna de Limache,Amenaza Inminente,Incendio Forestal,2025-12-02,2025-12-02 15:14:00,02/12/2025,15:14
1777,Valparaíso,45993.0,0.636805555555556,"SENAPRED: EVACUE sector El Limachito por incendio forestal, comuna Limache",Comuna de Limache,Amenaza Inminente,Incendio Forestal,2025-12-02,2025-12-02 15:17:00,02/12/2025,15:17
1778,O'Higgins,45994.0,0.609722222222222,"SENAPRED: EVACUE sector Las Animas y El Manzano por incendio forestal, comuna Las Cabras",Comuna de Las Cabras,Amenaza Inminente,Incendio Forestal,2025-12-03,2025-12-03 14:38:00,03/12/2025,14:38
